function_id,system_variant,iteration_count,total_tokens_used,mutation_score_pct,estimated_cost_usd,line_coverage_pct,num_llm_calls,pass_rate_pct,repeat,provider,model,_path,iterations_detail,initial_mutation_score_pct,stop_reason
function_02,Variant_2_StatePrediction,0,651,100.0,0.000987,100.0,1,100.0,1,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_02__Variant_2_StatePrediction__run1__gemini.json,[],100.0,no_survivors
function_02,Variant_2_StatePrediction,0,741,100.0,0.001212,100.0,1,100.0,2,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_02__Variant_2_StatePrediction__run2__gemini.json,[],100.0,no_survivors
function_02,Variant_2_StatePrediction,0,743,100.0,0.001217,100.0,1,100.0,3,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_02__Variant_2_StatePrediction__run3__gemini.json,[],100.0,no_survivors
function_03,Baseline_A,1,902,100.0,0.002011,80.0,1,100.0,1,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_03__Baseline_A__run1.json,,,
function_03,Baseline_A,1,867,100.0,0.001906,80.0,1,100.0,2,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_03__Baseline_A__run2.json,,,
function_03,Baseline_A,1,888,100.0,0.001969,80.0,1,100.0,3,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_03__Baseline_A__run3.json,,,
function_03,Baseline_B,1,6935,100.0,0.01152,80.0,5,100.0,1,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_03__Baseline_B__run1.json,,,
function_03,Baseline_B,1,5921,100.0,0.009833,80.0,5,100.0,2,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_03__Baseline_B__run2.json,,,
function_03,Baseline_B,1,6197,100.0,0.010276,80.0,5,100.0,3,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_03__Baseline_B__run3.json,,,
function_03,Variant_1_ErrorTrace,0,1006,100.0,0.001903,100.0,1,100.0,1,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_03__Variant_1_ErrorTrace__run1__gemini.json,[],100.0,no_survivors
function_03,Variant_1_ErrorTrace,0,835,100.0,0.001476,100.0,1,100.0,2,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_03__Variant_1_ErrorTrace__run2__gemini.json,[],100.0,no_survivors
function_03,Variant_1_ErrorTrace,0,921,100.0,0.001691,100.0,1,100.0,3,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_03__Variant_1_ErrorTrace__run3__gemini.json,[],100.0,no_survivors
function_03,Variant_2_StatePrediction,0,872,100.0,0.001568,100.0,1,100.0,1,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_03__Variant_2_StatePrediction__run1__gemini.json,[],100.0,no_survivors
function_03,Variant_2_StatePrediction,0,896,100.0,0.001628,100.0,1,100.0,2,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_03__Variant_2_StatePrediction__run2__gemini.json,[],100.0,no_survivors
function_03,Variant_2_StatePrediction,0,898,100.0,0.001633,100.0,1,100.0,3,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_03__Variant_2_StatePrediction__run3__gemini.json,[],100.0,no_survivors
function_04,Baseline_A,1,857,85.71,0.001801,75.0,1,100.0,1,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_04__Baseline_A__run1.json,,,
function_04,Baseline_A,1,783,85.71,0.001579,75.0,1,100.0,2,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_04__Baseline_A__run2.json,,,
function_04,Baseline_A,1,859,85.71,0.001807,75.0,1,100.0,3,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_04__Baseline_A__run3.json,,,
function_04,Baseline_B,1,5541,85.71,0.008908,75.0,5,100.0,1,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_04__Baseline_B__run1.json,,,
function_04,Baseline_B,1,5873,85.71,0.009314,75.0,5,100.0,2,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_04__Baseline_B__run2.json,,,
function_04,Baseline_B,1,5619,85.71,0.008897,75.0,5,100.0,3,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_04__Baseline_B__run3.json,,,
